Nom;co OACI
  Metz-Nancy-Lorraine;LFJL
Base aérienne  Phalsbourg-Bourscheid;LFQP
  Nevers-Fourchambault;LFQG
  Clamecy;LFJC
  Cosne-sur-Loire;LFGH
  Cambrai-Niergnies;LFYG
  Dunkerque - Les Moëres;LFAK
  Lille - Lesquin;LFQQ
  Lille - Marcq-en-Barœul;LFQO
  Maubeuge - Élesmes;LFQJ
  Merville - Calonne;LFQT
  Valenciennes - nain;LFAV
Base aérienne  Cambrai-Épinoy;LFQI
  Beauvais-Tillé;LFOB
  Plessis-Belleville;LFPP
  Compiègne - Margny;LFAD
Base aérienne 110 Creil;LFPC
  L'Aigle - Saint-Michel;LFOL
 Alençon - Valframbert;LFOF
 Argentan;LFAJ
  Bagnoles--l'Orne - Couterne;LFAO
  Flers - Saint-Paul;LFOG
  Mortagne-au-Perche;LFAX
 Arras - Roclincourt;LFQD
  Berck-sur-Mer;LFAM
  Calais - Dunkerque;LFAC
  Lens - Bénifontaine;LFQL
  Saint-Omer - Wizernes;LFQN
  Saint-Inglevert - Les ux Caps;LFIS
  Touquet-Côte d'Opale;LFAT
  Vitry-en-Artois;LFQS
  Clermont-Ferrand Auvergne;LFLC
 Issoire - Le Broc;LFHA
 Ambert - Le Poyet;LFHT
  Biarritz Pays Basque;LFBZ
 Itxassou;LFIX
  Lasclaveries;LFJV
 Oloron - Herrère;LFCO
  Pau-Pyrénées;LFBP
  Tarbes - Laloubère;LFDT
  Castelnau-Magnoac;LFDQ
Altiport  Peyresour-Balestas;LFIP
  Tarbes-Lours-Pyrénées;LFBT
  Perpignan-Rivesaltes;LFMP
  Mont-Louis La Quillane;LFNQ
  Sainte-Léocadie;LFYS
  Haguenau;LFSH
  Sarre-Union;LFQU
  Strasbourg-Neuhof;LFGC
  Saverne-Steinbourg;LFQY
  Strasbourg-Entzheim;LFST
  Lyon-Saint-Exupéry;LFLL
  Lyon - Corbas;LFHJ
  Villefranche - Tarare;LFHV
  Belleville - Villié-Morgon;LFHW
  Lyon-Bron;LFLY
  Lyon - Brindas;LFKL
  Broyes-lès-Pesmes;LFYH
  Gray - Saint-Adrien;LFEV
  Lure - Malbouhans;LFYL
  Vesoul - Frotey;LFQW
Base aérienne 116 Luxeuil-Saint Sauveur;LFSX
 Autun-Bellevue;LFQF
  Chalon - Champforgeuil;LFLH
  Saint-Yan;LFLN
  Mâcon - Charnay;LFLM
  Montceau-les-Mines - Pouilloux;LFGM
  Paray-le-Monial;LFGN
  Tournus - Cuisery;LFFX
 Le Mans-Arnage;LFRM
  La Flèche - Thorée-les-Pins;LFAL
  Chambéry - Challes-les-Eaux;LFLE
  Chambéry - Savoie;LFLB
 Albertville;LFKA
Altiport  Méribel;LFKX
Altiport  Courchevel;LFLJ
  Sollières-Sardières;LFKD
  Saint-Rémy--Maurienne;LFKR
 Annecy Haute-Savoie Mont-Blanc;LFLP
 Annemasse;LFLI
Altiport  Megève;LFHM
  Sallanches Mont-Blanc;LFHZ
  Dieppe - Saint-Aubin;LFAB
  Havre - Saint-Romain--Colbosc;LFOY
 Rouen Vallée  Seine;LFOP
 Eu - Mers - Le Tréport;LFAE
  Havre-Octeville;LFOH
  Saint-Valery - Vittefleur;LFOS
  Coulommiers - Voisins;LFPK
  Chelles - Le Pin;LFPH
  Fontenay-Trésigny;LFPQ
  La Ferté-Gaucher;LFFG
  Lognes-Émerainville;LFPL
  Meaux - Esbly;LFPE
  Melun-Villaroche;LFPM
  Moret - Épisy;LFPU
  Nangis Les Loges;LFAI
  Beynes - Thiverval;LFPF
  Chavenay - Villepreux;LFPX
  Guyancourt;LFPR
 s Mureaux;LFXU
  Saint-Cyr-l'École;LFPZ
  Toussus-le-Noble;LFPN
Base aérienne  Vélizy-Villacoublay;LFPV
  Mauléon;LFJB
  Niort - Marais Poitevin;LFBN
  Thouars;LFCT
 Abbeville;LFOI
 Amiens - Glisy;LFAY
 Albert - Bray;LFAQ
  Montdidier;LFAR
 Estrées-Mons;LFAG
  Graulhet - Montdragon;LFCQ
 Albi - Le Séquestre;LFCI
  Castres-Mazamet;LFCK
  Gaillac - Lisle-sur-Tarn;LFDG
  Castelsarrasin - Moissac;LFCX
  Montauban;LFDB
